Entity,Code,Date,"Excess mortality P-scores, ages 15–64","Excess mortality P-scores, ages 65–74","Excess mortality P-scores, ages 75–84","Excess mortality P-scores, ages 85+"
Austria,AUT,2020-01-05,-4.99,-23.21,-5.11,-11.17
Austria,AUT,2020-01-12,-1.45,-5.43,-5.3,-13.4
Austria,AUT,2020-01-19,-7.32,-1.09,9.77,-2.91
Austria,AUT,2020-01-26,14.2,-5.11,10.18,-5.01
Austria,AUT,2020-02-02,-5.91,-0.22,19.98,5.79
Austria,AUT,2020-02-09,-16.28,-9.78,-0.24,-10.87
Austria,AUT,2020-02-16,-4.52,-13.27,-5.86,-1.03
Austria,AUT,2020-02-23,-6.12,-2.4,-2.31,-8.64
Austria,AUT,2020-03-01,-2.48,-9.93,6.6,-6.26
Austria,AUT,2020-03-08,6.27,-0.76,2.22,-4.07
Austria,AUT,2020-03-15,5.4,-3.98,2.8,-1.56
Austria,AUT,2020-03-22,11.83,4.28,27.5,11.95
Austria,AUT,2020-03-29,6.07,-9.3,19.52,6.12
Austria,AUT,2020-04-05,12.8,1.28,24.06,15.87
Austria,AUT,2020-04-12,14.38,4.58,21.43,18.05
Austria,AUT,2020-04-19,3.67,3.78,18.82,13.57
Austria,AUT,2020-04-26,7.78,2.1,17.5,4.01
Austria,AUT,2020-05-03,8.21,-15.32,3.49,3.98
Austria,AUT,2020-05-10,5.43,2.06,8.47,5.99
Austria,AUT,2020-05-17,-5.35,3.91,6.72,-0.14
Austria,AUT,2020-05-24,-6.86,3.49,16.11,1.08
Austria,AUT,2020-05-31,14.3,-5.85,-5.35,2.04
Austria,AUT,2020-06-07,11.69,-2.46,6.55,5.7
Austria,AUT,2020-06-14,-0.27,-0.69,2.65,2.22
Austria,AUT,2020-06-21,-6.08,-8.47,-1.71,8.84
Austria,AUT,2020-06-28,-6.57,-1.41,0.51,9.83
Austria,AUT,2020-07-05,1.21,12.68,8.7,10.29
Austria,AUT,2020-07-12,-1.09,-1.17,2.73,-1.09
Austria,AUT,2020-07-19,-10.12,10.27,8.05,-9.27
Austria,AUT,2020-07-26,2.05,-4.76,3.14,-6.67
Austria,AUT,2020-08-02,0.26,-1.19,9.69,-2.67
Austria,AUT,2020-08-09,-0.54,-7.18,9.18,-2.44
Austria,AUT,2020-08-16,-2.61,8.26,17.1,10.23
Austria,AUT,2020-08-23,-8.64,-0.18,14.1,0.77
Austria,AUT,2020-08-30,-3.83,-7.34,17.78,5.5
Austria,AUT,2020-09-06,4.03,4.76,23.08,7.31
Austria,AUT,2020-09-13,19.25,-1.47,13.26,8.96
Austria,AUT,2020-09-20,2.16,12.3,11.8,12.04
Austria,AUT,2020-09-27,-1.01,-1.67,3.47,8.87
Austria,AUT,2020-10-04,-2.39,16.72,5.63,3
Austria,AUT,2020-10-11,10.95,3.95,16.4,0.91
Austria,AUT,2020-10-18,2.66,12.27,11.45,3.73
Austria,AUT,2020-10-25,4.15,7.69,28.34,20.01
Austria,AUT,2020-11-01,12.83,24,32.24,25.27
Austria,AUT,2020-11-08,16.39,22.87,56.73,27.01
Austria,AUT,2020-11-15,-1.82,39.83,59.19,58.39
Austria,AUT,2020-11-22,32.84,28.01,80.75,60.82
Austria,AUT,2020-11-29,18.11,33.78,78.79,66.77
Austria,AUT,2020-12-06,27.98,52.48,65.77,67.49
Austria,AUT,2020-12-13,31.32,40.28,66.52,58.24
Austria,AUT,2020-12-20,15.28,26.62,47.99,39.68
Austria,AUT,2020-12-27,-0.96,16.79,41.91,18.72
Austria,AUT,2021-01-03,1.43,20.92,23.17,12.29
Austria,AUT,2021-01-10,-5.91,12.93,11.6,6.79
Austria,AUT,2021-01-17,-5.78,16.84,9.2,0.52
Belgium,BEL,2020-01-05,-6.12,0.11,-12.4,-4.27
Belgium,BEL,2020-01-12,-1.25,4.57,-10.7,3.23
Belgium,BEL,2020-01-19,-12.04,8.98,-12.02,-1.25
Belgium,BEL,2020-01-26,-11.95,4.34,-15.04,-8.34
Belgium,BEL,2020-02-02,0.87,2.18,-8.01,-7.83
Belgium,BEL,2020-02-09,-4.24,-3.29,-14.59,-16.53
Belgium,BEL,2020-02-16,-3.64,3.8,-11.77,-10.8
Belgium,BEL,2020-02-23,-2.06,6.39,-14.1,-8.01
Belgium,BEL,2020-03-01,-22.72,-1.56,-10.07,-11.02
Belgium,BEL,2020-03-08,-7.1,-4.47,-16.35,-6.86
Belgium,BEL,2020-03-15,5.95,1.12,-7.08,-6.56
Belgium,BEL,2020-03-22,-0.28,27.26,8.5,11.09
Belgium,BEL,2020-03-29,7.73,50.17,46.58,54.01
Belgium,BEL,2020-04-05,26.41,79.41,90.83,119.66
Belgium,BEL,2020-04-12,26.43,64.94,119.81,143.77
Belgium,BEL,2020-04-19,8.99,63.16,71.27,124.63
Belgium,BEL,2020-04-26,9.75,32.02,43.39,78.5
Belgium,BEL,2020-05-03,-5.91,14.28,16.67,37.24
Belgium,BEL,2020-05-10,-5.78,14.08,13.16,33.8
Belgium,BEL,2020-05-17,-1.18,5.3,-0.92,7.5
Belgium,BEL,2020-05-24,-5.29,3.36,-3.77,18.76
Belgium,BEL,2020-05-31,5.76,1.5,-16.7,18.31
Belgium,BEL,2020-06-07,-12.14,2.62,-10.64,2.59
Belgium,BEL,2020-06-14,-0.53,4.03,-3.01,7.25
Belgium,BEL,2020-06-21,-12.14,-5.24,-10.74,2.23
Belgium,BEL,2020-06-28,-6.41,17.99,-2.33,7.53
Belgium,BEL,2020-07-05,-10.98,-7.64,-21.54,-7.43
Belgium,BEL,2020-07-12,-8.46,-2.75,-12.78,-8.15
Belgium,BEL,2020-07-19,-5.21,-0.06,-5.9,0.16
Belgium,BEL,2020-07-26,-11.84,-1.75,-15.21,-5.93
Belgium,BEL,2020-08-02,-2.56,7.05,2.69,6.38
Belgium,BEL,2020-08-09,-8.09,13.8,10.08,13.82
Belgium,BEL,2020-08-16,23.75,48.58,44.68,80.03
Belgium,BEL,2020-08-23,7.33,20.11,6.42,27.45
Belgium,BEL,2020-08-30,-10.97,0.71,-1,1.43
Belgium,BEL,2020-09-06,8.11,5.48,-3.76,5.13
Belgium,BEL,2020-09-13,0.95,6.77,-9.36,-2.27
Belgium,BEL,2020-09-20,-3.19,14.89,-4.97,16.26
Belgium,BEL,2020-09-27,2.87,2.56,-6.17,4.85
Belgium,BEL,2020-10-04,-10.74,4.99,1.5,-3.05
Belgium,BEL,2020-10-11,-4.3,16.71,0.63,0.91
Belgium,BEL,2020-10-18,8.65,14.21,8.05,5.05
Belgium,BEL,2020-10-25,12.78,18.25,32.46,44.25
Belgium,BEL,2020-11-01,24.07,63.85,80.55,72.39
Belgium,BEL,2020-11-08,25.9,87.9,86.68,103.67
Belgium,BEL,2020-11-15,25.57,58.87,68.7,87.95
Belgium,BEL,2020-11-22,12.16,53.35,53.67,63.23
Belgium,BEL,2020-11-29,7.39,43.63,29.36,52.93
Belgium,BEL,2020-12-06,9.62,27.34,19.11,32.56
Belgium,BEL,2020-12-13,9.15,21.47,20.98,35.51
Belgium,BEL,2020-12-20,-6.36,15.95,21.4,32.37
Belgium,BEL,2020-12-27,-7.56,15.1,8.5,29.97
Belgium,BEL,2021-01-03,-4.38,18.19,8.34,9.27
Belgium,BEL,2021-01-10,-17.6,4.6,-1.77,9.61
