,Code,Date,contact_tracing,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,debt_relief,income_support,testing_policy,international_travel_controls,restrictions_internal_movements,close_public_transport,public_information_campaigns,facial_coverings,stay_home_requirements,restriction_gatherings,cancel_public_events,workplace_closures,school_closures,holiday,temp,prcp,doctors_per_1000,nurses_per_1000,beds_per_1000,number_of_arrivals,urban_population,total_vaccinations_per_100,youth_unemployment,life_expectancy,%df_population_gr_65,UN Population Division (Median Age) (2017),excess_mortality_week_n,infections_value,month,average_deaths_2015_2019_all_ages,deaths_week_n,population,accumulated,reproduction_rate_week_n-1,reproduction_rate
3,AUS,2020-03-22,2.0,0.7144285714285715,8.979571428571429,-0.3875714285714286,5.448857142857143,-2.857142857142857,8.326571428571429,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.346511782497412,0.14201017050553316,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,4.67,7.28,3,3126.25,145.99587499999998,25364307.0,0.002502054363243593,2.17,2.17
4,AUS,2020-03-29,2.0,-0.8979999999999999,15.163285714285715,0.4488571428571429,-1.0612857142857144,-4.959142857142857,6.958999999999999,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,0.0,21.176834570874316,0.05478928356411804,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,4.62,12.13,3,3126.25,144.43275,25364307.0,0.003071487425223169,2.17,2.3299999999999996
5,AUS,2020-04-05,2.0,-10.591857142857142,22.020285714285713,5.102142857142857,-21.836714285714287,-14.836714285714285,-0.9182857142857143,0.2857142857142857,1.0,1.0,3.857142857142857,2.0,0.0,2.0,0.0,0.2857142857142857,2.2857142857142856,2.0,0.8571428571428571,0.8571428571428571,0.0,20.702945113788463,0.05189759036144595,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,7.28,11.31,4,2564.75,186.71380000000002,25364307.0,0.003807615559928367,2.3299999999999996,2.2800000000000002
6,AUS,2020-04-12,2.0,-32.163428571428575,-0.02042857142857102,13.42842857142857,-48.775571428571425,-28.183714285714284,-22.816285714285716,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,3.5714285714285716,2.0,2.0,3.0,0.0,21.093375299760204,0.0733363309352518,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,12.13,6.36,4,2564.75,311.10417500000005,25364307.0,0.005034158729430299,2.2800000000000002,1.457142857142857
7,AUS,2020-04-19,2.0,-40.91842857142857,-12.347142857142856,17.612142857142857,-60.204142857142855,-39.32657142857143,-35.26528571428572,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,3.0,0.0,18.880697364030723,0.11855555555555523,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,11.31,2.95,4,2564.75,290.07322500000004,25364307.0,0.006177786367275874,1.457142857142857,0.7657142857142858
8,AUS,2020-04-26,2.0,-43.632428571428576,-14.347,20.12242857142857,-63.89814285714285,-38.57142857142857,-46.83671428571428,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,3.0,2.0,19.355421484833244,0.06073303167420819,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,6.36,5.75,4,2564.75,163.11810000000003,25364307.0,0.006820887320122724,0.7657142857142858,0.4685714285714286
9,AUS,2020-05-03,2.0,-41.63271428571428,-13.122714285714286,19.142714285714284,-60.95914285714286,-33.38771428571429,-42.530571428571434,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.2857142857142856,0.0,18.66129841460968,0.03236002408187846,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,2.95,3.18,5,3412.7999999999997,100.67760000000001,25364307.0,0.0072178135992440095,0.4685714285714286,0.39714285714285713
10,AUS,2020-05-10,2.0,-39.75514285714286,-11.42842857142857,16.979714285714287,-57.449000000000005,-30.836714285714287,-36.306,2.0,1.0,1.8571428571428572,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,18.80648511037414,0.1042689176967136,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,5.75,2.64,5,3412.7999999999997,196.236,25364307.0,0.007991483465327872,0.39714285714285713,0.45999999999999996
11,AUS,2020-05-17,2.0,-36.69385714285714,-8.183714285714286,15.244714285714284,-56.40828571428572,-35.081857142857146,-33.42857142857143,2.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,15.19060929752755,0.06140760706798454,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,3.18,-0.76,5,3412.7999999999997,108.52704,25364307.0,0.008419356539092515,0.45999999999999996,0.7185714285714286
12,AUS,2020-05-24,2.0,-31.469428571428573,-2.265285714285714,14.53057142857143,-52.32657142857143,-26.97957142857143,-29.326428571428572,2.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,15.44524524524529,0.048453453453453636,3.75,11.92,3.84,8263000.0,85.904,,11.8400001525879,82.74878048780491,15.9212017459054,37.900002,2.64,-0.69,5,3412.7999999999997,90.09792,25364307.0,0.008774571921085801,0.7185714285714286,0.7771428571428574
